𨕽: jié
𨕿: wǎng
𨖃: hū
𨖊: zé jī
𨖋: zǎn zhì
𨖌: yàng
𨖎: chǐ
𨖏: jiù
𨖚: liáo
𨖛: yū
𨖠: biǎn biàn
𨖢: kuáng
𨖬: chòu
𨖭: yá
𨖮: zhuó
𨖰: qiè
𨖱: xiàn
𨖳: yuān
𨖴: wǔ
𨖵: jiǎo
𨖶: xiàng
𨖷: shà
𨖹: zhì
𨖼: chòng
𨖾: biān
𨖿: wēi
𨗓: dào
𨗝: yù jú
𨗞: tuí
𨗡: chào
𨗥: huì
𨗦: qiǎn
𨗨: wěi
𨗰: yóu
𨗼: dì dài
𨗾: dà
𨘁: yóu
𨘂: jiù
𨘃: tuí
𨘄: zǎn
𨘇: huì
𨘉: shà
𨘌: huò
𨘔: yáo
𨘙: xiàn
𨘞: xiàn
𨘬: dì
𨘮: jiù
𨘲: huì
𨘴: kào
𨘵: yóu
𨘸: lì
𨘼: chuán
𨘾: chí
𨙀: huò
𨙂: yóu
𨙄: yuè
𨙎: tà
𨙏: zàn
𨙓: niè
𨙔: zhù
𨙡: xiǎn
𨙩: shí
𨙫: kǒu
𨙬: qǐ
𨙭: tǔ
𨙮: fán
𨙯: cūn
𨙲: tún cūn
𨙳: chā
𨙴: cái zài
𨙵: xiàng
𨙶: pèi
𨙷: jǐng
𨙸: qí zhī
𨙹: shǎo
𨙺: niǔ
𨙻: nà
𨙽: qín
𨚍: bì bèi
𨚓: bì fèi fú
𨚔: bāo
𨚕: biàn
𨚖: zī
𨚗: nà
𨚘: wèi
𨚙: háo
𨚡: jǐn
𨚣: zhèng
𨚧: qié
𨚮: hào
𨚯: tóng
𨚰: zǎo
𨚱: shèng
𨚲: cún
𨚳: huāng
𨚴: rú
𨚵: zài
𨚶: nián
𨚾: xiān
𨛈: quán
𨛉: jì
𨛊: yín
𨛋: lǐ
𨛌: máng
𨛍: shào
𨛎: hàn
𨛏: cuò
𨛐: jùn
𨛑: jì
𨛒: bù
𨛓: lòng
𨛔: fǒu
𨛕: yóu
𨛖: kuài
𨛜: xiàng
𨛡: yún
𨛣: qín
𨛤: huí
𨛥: pú
𨛫: lí
𨛬: péi
𨛭: shū shè
𨛮: jū
𨛯: yí
𨛰: zhēng
𨛱: chóng
𨛳: xí jí
𨛵: hǔ
𨛶: róu shòu
𨜌: huàn
𨜍: qiào
𨜎: zhī
𨜏: yíng
𨜐: xǐ
𨜑: qiāo
𨜒: jì
𨜓: zhēng
𨜔: huáng
𨜖: yú
𨜗: zōu
𨜘: méi
𨜜: shěng
𨜩: quán
𨜰: jiāng
𨜱: hé
𨜳: tóng
𨜴: hé
𨜵: wēn
𨜶: yì
𨜷: páng
𨜺: wēng
𨜻: qián
𨜼: lì
𨜽: yí
𨜾: chuàng
𨜿: xù
𨝀: wěi
𨝆: gē
𨝈: yǔ
𨝋: zhài
𨝌: gān
𨝍: qiān
𨝎: kāng
𨝏: lí
𨝐: shēn
𨝑: guàn
𨝓: piáo
𨝖: lí
𨝘: hǔ
𨝛: tú
𨝜: shùn
𨝞: hù
𨝟: lí
𨝢: lòu
𨝦: dàng
𨝨: zuò
𨝩: shān
𨝫: shè xì
𨝭: féng
𨝮: jù zōu
𨝯: tóng
𨝰: jiǎo
𨝱: qiáo
